x	y	p4f	X1	X2	X3	X4	X5	C1	C2	C3	C4	C5	C6	C7	S	CS1	CS2	TOT_{X1}	TOT_{X2}	TOT_{X3}	TOT_{X4}	TOT_{X5}	TOT_S	CC	X5_{DEC}	CP1	CP2	totmolS	solnVol	cellNo	pe	pH	p4f	H*	O*	Charge	[X1]	[X3]	[X4]	[X5]	
1.03891	0.784227	1	0.299113	0.151297	3.32496e-009	0	0.175234	6.57051e-012	5.04547e-010	0	0	0	0.0239377	0	9.99988	0.000116523	0	0.299113	0.391023	0.0719295	0	0.175234	10	0	81.3828	0	0	5	0.5	56	19.1327	0.818885	1.60635	-0.0428358	-0.207911	1.50226e-009	0.299113	0.0629822	-1.81506e-068	0.184041	
1.08112	0.773803	1	0.299113	0.148019	3.58266e-009	0	0.172075	6.716e-012	5.31874e-010	0	0	0	0.0240558	0	9.99988	0.00011757	0	0.299113	0.38893	0.0722851	0	0.172075	10	0	81.691	0	0	5	0.5	57	19.1231	0.828397	1.61309	-0.0446492	-0.207911	1.50449e-009	0.299113	0.0634845	-1.89875e-068	0.180721	
1.1	0.7125	1	0.299113	0.144304	3.91626e-009	0	0.168672	6.88889e-012	5.66807e-010	0	0	0	0.0243685	0	9.99988	0.000119082	0	0.299113	0.388346	0.0732246	0	0.168672	10	0	82.0222	0	0	3.75	0.375	58	19.1119	0.839436	1.60891	-0.0449013	-0.207911	1.50999e-009	0.299113	0.0645943	-1.97493e-068	0.17714	
1.1	0.74375	1	0.299113	0.146421	3.71782e-009	0	0.170539	6.78927e-012	5.45983e-010	0	0	0	0.0241181	0	9.99988	0.000118098	0	0.299113	0.387957	0.0724724	0	0.170539	10	0	81.8407	0	0	3.57143	0.357143	59	19.1183	0.833109	1.61347	-0.0454856	-0.207911	1.50592e-009	0.299113	0.0637436	-1.93802e-068	0.179108	
1.07735	0.750481	1	0.299113	0.146759	3.69559e-009	0	0.171	6.77364e-012	5.43971e-010	0	0	0	0.0242405	0	9.99988	0.000118206	0	0.299113	0.389519	0.0728396	0	0.171	10	0	81.7952	0	0	5	0.5	60	19.1193	0.832108	1.60936	-0.0439428	-0.207911	1.50727e-009	0.299113	0.0640979	-1.91754e-068	0.179588	
1.1	0.68125	1	0.299113	0.142317	4.11454e-009	0	0.166919	6.98507e-012	5.87306e-010	0	0	0	0.0246019	0	9.99988	0.000120014	0	0.299113	0.388696	0.0739256	0	0.166919	10	0	82.1928	0	0	3.75	0.375	61	19.1058	0.845457	1.60426	-0.0443693	-0.207911	1.51385e-009	0.299113	0.0653878	-2.00959e-068	0.175292	
1.08303	0.728125	1	0.299113	0.145175	3.84006e-009	0	0.169573	6.84758e-012	5.59133e-010	0	0	0	0.024398	0	9.99988	0.000118891	0	0.299113	0.389511	0.0733128	0	0.169573	10	0	81.9341	0	0	5	0.5	62	19.1145	0.836823	1.60689	-0.0438071	-0.207911	1.50988e-009	0.299113	0.0646443	-1.94795e-068	0.178085	
1	0.73125	1	0.299113	0.151465	3.32043e-009	0	0.175572	6.5632e-012	5.0442e-010	0	0	0	0.0241067	0	9.99988	0.000116754	0	0.299113	0.392882	0.0724368	0	0.175572	10	0	81.3502	0	0	3.75	0.375	63	19.1332	0.818402	1.58791	-0.0409787	-0.207911	1.50528e-009	0.299113	0.0634858	-1.79097e-068	0.184388	
1.05667	0.682477	1	0.299113	0.14338	4.0275e-009	0	0.168237	6.93327e-012	5.79178e-010	0	0	0	0.0248565	0	9.99988	0.000120128	0	0.299113	0.392306	0.0746896	0	0.168237	10	0	82.0632	0	0	5	0.5	64	19.1091	0.842224	1.59236	-0.040829	-0.207912	1.51653e-009	0.299113	0.0661097	-1.95632e-068	0.176667	
1.06606	0.735712	1	0.299113	0.146251	3.74774e-009	0	0.170669	6.79721e-012	5.49734e-010	0	0	0	0.0244183	0	9.99988	0.000118632	0	0.299113	0.390789	0.0733734	0	0.170669	10	0	81.8267	0	0	5	0.5	65	19.1178	0.833616	1.60374	-0.0426175	-0.207911	1.5097e-009	0.299113	0.0646573	-1.9155e-068	0.179235	
1.0269	0.689646	1	0.299113	0.145994	3.7862e-009	0	0.170733	6.80916e-012	5.54401e-010	0	0	0	0.0247392	0	9.99988	0.000119219	0	0.299113	0.393744	0.0743369	0	0.170733	10	0	81.8205	0	0	5	0.5	66	19.117	0.83438	1.5849	-0.0396168	-0.207912	1.51468e-009	0.299113	0.0656398	-1.89095e-068	0.179289	
1.06767	0.716546	1	0.299113	0.144696	3.89271e-009	0	0.169287	6.87021e-012	5.64933e-010	0	0	0	0.0245907	0	9.99988	0.000119334	0	0.299113	0.390961	0.0738914	0	0.169287	10	0	81.9612	0	0	5	0.5	67	19.1131	0.838256	1.6005	-0.0423032	-0.207911	1.51252e-009	0.299113	0.0652475	-1.94367e-068	0.177779	
1.055	0.701829	1	0.299113	0.144588	3.90931e-009	0	0.16931	6.87534e-012	5.66917e-010	0	0	0	0.0247212	0	9.99988	0.000119575	0	0.299113	0.39216	0.0742833	0	0.16931	10	0	81.9587	0	0	5	0.5	68	19.1128	0.83858	1.59471	-0.0410859	-0.207912	1.51431e-009	0.299113	0.065647	-1.93437e-068	0.177798	
