              x	              y	              z	           time	in	          Cl	
            210	            140	              0           1000	 1	  4.6046e-02	
            220	            140	              0           1000	 1	  2.9287e-02	
            230	            140	              0           1000	 1	  1.7811e-02	
            240	            140	              0           1000	 1	  1.0343e-02	
            250	            140	              0           1000	 1	  5.7289e-03	
            260	            140	              0           1000	 1	  3.0242e-03	
            270	            140	              0           1000	 1	  1.5210e-03	
            280	            140	              0           1000	 1	  7.3165e-04	
            290	            140	              0           1000	 1	  3.5131e-04	
            300	            140	              0           1000	 1	  2.3471e-04	
              0            150	              0           1000	 1	  7.9904e-01	
             10	            150	              0           1000	 1	  7.9648e-01	
             20	            150	              0           1000	 1	  7.8896e-01	
             30	            150	              0           1000	 1	  7.7645e-01	
             40	            150	              0           1000	 1	  7.5879e-01	
             50	            150	              0           1000	 1	  7.3573e-01	
             60	            150	              0           1000	 1	  7.0697e-01	
             70	            150	              0           1000	 1	  6.7231e-01	
             80	            150	              0           1000	 1	  6.3167e-01	
             90	            150	              0           1000	 1	  5.8526e-01	
            100	            150	              0           1000	 1	  5.3360e-01	
            110	            150	              0           1000	 1	  4.7764e-01	
            120	            150	              0           1000	 1	  4.1874e-01	
            130	            150	              0           1000	 1	  3.5864e-01	
            140	            150	              0           1000	 1	  2.9932e-01	
            150	            150	              0           1000	 1	  2.4280e-01	
            160	            150	              0           1000	 1	  1.9095e-01	
            170	            150	              0           1000	 1	  1.4524e-01	
            180	            150	              0           1000	 1	  1.0659e-01	
            190	            150	              0           1000	 1	  7.5316e-02	
            200	            150	              0           1000	 1	  5.1136e-02	
            210	            150	              0           1000	 1	  3.3300e-02	
            220	            150	              0           1000	 1	  2.0764e-02	
            230	            150	              0           1000	 1	  1.2380e-02	
            240	            150	              0           1000	 1	  7.0492e-03	
            250	            150	              0           1000	 1	  3.8292e-03	
            260	            150	              0           1000	 1	  1.9828e-03	
            270	            150	              0           1000	 1	  9.7843e-04	
            280	            150	              0           1000	 1	  4.6185e-04	
            290	            150	              0           1000	 1	  2.1758e-04	
            300	            150	              0           1000	 1	  1.4362e-04	
              0            160	              0           1000	 1	  7.3039e-01	
             10	            160	              0           1000	 1	  7.2753e-01	
             20	            160	              0           1000	 1	  7.1912e-01	
             30	            160	              0           1000	 1	  7.0524e-01	
             40	            160	              0           1000	 1	  6.8585e-01	
             50	            160	              0           1000	 1	  6.6086e-01	
             60	            160	              0           1000	 1	  6.3021e-01	
             70	            160	              0           1000	 1	  5.9394e-01	
             80	            160	              0           1000	 1	  5.5229e-01	
             90	            160	              0           1000	 1	  5.0576e-01	
            100	            160	              0           1000	 1	  4.5517e-01	
            110	            160	              0           1000	 1	  4.0169e-01	
            120	            160	              0           1000	 1	  3.4680e-01	
            130	            160	              0           1000	 1	  2.9221e-01	
            140	            160	              0           1000	 1	  2.3970e-01	
            150	            160	              0           1000	 1	  1.9095e-01	
            160	            160	              0           1000	 1	  1.4738e-01	
            170	            160	              0           1000	 1	  1.0995e-01	
            180	            160	              0           1000	 1	  7.9115e-02	
            190	            160	              0           1000	 1	  5.4792e-02	
            200	            160	              0           1000	 1	  3.6454e-02	
            210	            160	              0           1000	 1	  2.3260e-02	
            220	            160	              0           1000	 1	  1.4211e-02	
            230	            160	              0           1000	 1	  8.3020e-03	
            240	            160	              0           1000	 1	  4.6325e-03	
            250	            160	              0           1000	 1	  2.4665e-03	
            260	            160	              0           1000	 1	  1.2521e-03	
            270	            160	              0           1000	 1	  6.0590e-04	
            280	            160	              0           1000	 1	  2.8050e-04	
            290	            160	              0           1000	 1	  1.2958e-04	
            300	            160	              0           1000	 1	  8.4464e-05	
              0            170	              0           1000	 1	  6.5087e-01	
             10	            170	              0           1000	 1	  6.4781e-01	
             20	            170	              0           1000	 1	  6.3883e-01	
             30	            170	              0           1000	 1	  6.2410e-01	
             40	            170	              0           1000	 1	  6.0373e-01	
             50	            170	              0           1000	 1	  5.7780e-01	
             60	            170	              0           1000	 1	  5.4649e-01	
             70	            170	              0           1000	 1	  5.1010e-01	
             80	            170	              0           1000	 1	  4.6912e-01	
             90	            170	              0           1000	 1	  4.2432e-01	
            100	            170	              0           1000	 1	  3.7669e-01	
            110	            170	              0           1000	 1	  3.2753e-01	
            120	            170	              0           1000	 1	  2.7829e-01	
            130	            170	              0           1000	 1	  2.3053e-01	
            140	            170	              0           1000	 1	  1.8575e-01	
            150	            170	              0           1000	 1	  1.4524e-01	
            160	            170	              0           1000	 1	  1.0995e-01	
            170	            170	              0           1000	 1	  8.0416e-02	
            180	            170	              0           1000	 1	  5.6702e-02	
            190	            170	              0           1000	 1	  3.8470e-02	
            200	            170	              0           1000	 1	  2.5069e-02	
            210	            170	              0           1000	 1	  1.5665e-02	
            220	            170	              0           1000	 1	  9.3728e-03	
            230	            170	              0           1000	 1	  5.3629e-03	
            240	            170	              0           1000	 1	  2.9312e-03	
            250	            170	              0           1000	 1	  1.5290e-03	
            260	            170	              0           1000	 1	  7.6063e-04	
            270	            170	              0           1000	 1	  3.6079e-04	
            280	            170	              0           1000	 1	  1.6374e-04	
            290	            170	              0           1000	 1	  7.4143e-05	
