              x	              y	              z	           time	in	                  A	
             60	           13.5	              0	             40	 1	   4.0381090269e-13	
             64	           13.5	              0	             40	 1	   1.2009671575e-13	
             68	           13.5	              0	             40	 1	   3.1121459429e-14	
             72	           13.5	              0	             40	 1	   0.0000000000e+00	
             76	           13.5	              0	             40	 1	   0.0000000000e+00	
             80	           13.5	              0	             40	 1	   0.0000000000e+00	
             84	           13.5	              0	             40	 1	   0.0000000000e+00	
             88	           13.5	              0	             40	 1	   0.0000000000e+00	
             92	           13.5	              0	             40	 1	   0.0000000000e+00	
             96	           13.5	              0	             40	 1	   0.0000000000e+00	
            100	           13.5	              0	             40	 1	   0.0000000000e+00	
              0	           14.5	              0	             40	 1	   0.0000000000e+00	
              4	           14.5	              0	             40	 1	   2.8506206654e-09	
              8	           14.5	              0	             40	 1	   7.1508345742e-09	
             12	           14.5	              0	             40	 1	   9.0522925819e-09	
             16	           14.5	              0	             40	 1	   7.9561212896e-09	
             20	           14.5	              0	             40	 1	   5.5038871438e-09	
             24	           14.5	              0	             40	 1	   3.2018255470e-09	
             28	           14.5	              0	             40	 1	   1.6308812792e-09	
             32	           14.5	              0	             40	 1	   7.4721459579e-10	
             36	           14.5	              0	             40	 1	   3.1387971753e-10	
             40	           14.5	              0	             40	 1	   1.2260912135e-10	
             44	           14.5	              0	             40	 1	   4.5022884454e-11	
             48	           14.5	              0	             40	 1	   1.5672712393e-11	
             52	           14.5	              0	             40	 1	   5.2071535799e-12	
             56	           14.5	              0	             40	 1	   1.6594160152e-12	
             60	           14.5	              0	             40	 1	   5.0750671458e-13	
             64	           14.5	              0	             40	 1	   1.4815852918e-13	
             68	           14.5	              0	             40	 1	   4.0000682346e-14	
             72	           14.5	              0	             40	 1	   0.0000000000e+00	
             76	           14.5	              0	             40	 1	   0.0000000000e+00	
             80	           14.5	              0	             40	 1	   0.0000000000e+00	
             84	           14.5	              0	             40	 1	   0.0000000000e+00	
             88	           14.5	              0	             40	 1	   0.0000000000e+00	
             92	           14.5	              0	             40	 1	   0.0000000000e+00	
             96	           14.5	              0	             40	 1	   0.0000000000e+00	
            100	           14.5	              0	             40	 1	   0.0000000000e+00	
              0	           15.5	              0	             40	 1	   0.0000000000e+00	
              4	           15.5	              0	             40	 1	   3.7831101806e-09	
              8	           15.5	              0	             40	 1	   9.3689028366e-09	
             12	           15.5	              0	             40	 1	   1.1737654393e-08	
             16	           15.5	              0	             40	 1	   1.0223237728e-08	
             20	           15.5	              0	             40	 1	   7.0148860257e-09	
             24	           15.5	              0	             40	 1	   4.0506320827e-09	
             28	           15.5	              0	             40	 1	   2.0491558881e-09	
             32	           15.5	              0	             40	 1	   9.3290851732e-10	
             36	           15.5	              0	             40	 1	   3.8956679763e-10	
             40	           15.5	              0	             40	 1	   1.5133042040e-10	
             44	           15.5	              0	             40	 1	   5.5278531775e-11	
             48	           15.5	              0	             40	 1	   1.9148810373e-11	
             52	           15.5	              0	             40	 1	   6.3325312813e-12	
             56	           15.5	              0	             40	 1	   2.0075693849e-12	
             60	           15.5	              0	             40	 1	   6.1295849871e-13	
             64	           15.5	              0	             40	 1	   1.7980164872e-13	
             68	           15.5	              0	             40	 1	   4.8480145424e-14	
             72	           15.5	              0	             40	 1	   1.2097949962e-14	
             76	           15.5	              0	             40	 1	   0.0000000000e+00	
             80	           15.5	              0	             40	 1	   0.0000000000e+00	
             84	           15.5	              0	             40	 1	   0.0000000000e+00	
             88	           15.5	              0	             40	 1	   0.0000000000e+00	
             92	           15.5	              0	             40	 1	   0.0000000000e+00	
             96	           15.5	              0	             40	 1	   0.0000000000e+00	
            100	           15.5	              0	             40	 1	   0.0000000000e+00	
              0	           16.5	              0	             40	 1	   0.0000000000e+00	
              4	           16.5	              0	             40	 1	   4.6508613155e-09	
              8	           16.5	              0	             40	 1	   1.1443372765e-08	
             12	           16.5	              0	             40	 1	   1.4258079546e-08	
             16	           16.5	              0	             40	 1	   1.2356691849e-08	
             20	           16.5	              0	             40	 1	   8.4395476438e-09	
             24	           16.5	              0	             40	 1	   4.8520385279e-09	
             28	           16.5	              0	             40	 1	   2.4444325807e-09	
             32	           16.5	              0	             40	 1	   1.1084843845e-09	
             36	           16.5	              0	             40	 1	   4.6114312191e-10	
             40	           16.5	              0	             40	 1	   1.7848934854e-10	
             44	           16.5	              0	             40	 1	   6.4974131089e-11	
             48	           16.5	              0	             40	 1	   2.2432737945e-11	
             52	           16.5	              0	             40	 1	   7.3949238143e-12	
             56	           16.5	              0	             40	 1	   2.3396054386e-12	
             60	           16.5	              0	             40	 1	   7.1217822441e-13	
             64	           16.5	              0	             40	 1	   2.0881337292e-13	
             68	           16.5	              0	             40	 1	   5.6243399151e-14	
             72	           16.5	              0	             40	 1	   1.4022047999e-14	
             76	           16.5	              0	             40	 1	   0.0000000000e+00	
             80	           16.5	              0	             40	 1	   0.0000000000e+00	
             84	           16.5	              0	             40	 1	   0.0000000000e+00	
             88	           16.5	              0	             40	 1	   0.0000000000e+00	
             92	           16.5	              0	             40	 1	   0.0000000000e+00	
             96	           16.5	              0	             40	 1	   0.0000000000e+00	
            100	           16.5	              0	             40	 1	   0.0000000000e+00	
              0	           17.5	              0	             40	 1	   0.0000000000e+00	
              4	           17.5	              0	             40	 1	   5.3533708355e-09	
              8	           17.5	              0	             40	 1	   1.3147750703e-08	
             12	           17.5	              0	             40	 1	   1.6351584923e-08	
             16	           17.5	              0	             40	 1	   1.4144114912e-08	
             20	           17.5	              0	             40	 1	   9.6414490602e-09	
             24	           17.5	              0	             40	 1	   5.5319424017e-09	
             28	           17.5	              0	             40	 1	   2.7813052588e-09	
             32	           17.5	              0	             40	 1	   1.2586634019e-09	
             36	           17.5	              0	             40	 1	   5.2254374888e-10	
             40	           17.5	              0	             40	 1	   2.0183990929e-10	
             44	           17.5	              0	             40	 1	   7.3324399706e-11	
