              x	              y	              z	           time	in	                  A	                  B	                  C	                  D	
            150	           -1.5	             -5	            400	 1	   0.0000000000e+00	   3.7286191304e-12	   2.6997057351e-10	   1.7510529852e-09	
              0	           -0.5	             -5	            400	 1	   0.0000000000e+00	   0.0000000000e+00	   0.0000000000e+00	   0.0000000000e+00	
              4	           -0.5	             -5	            400	 1	   0.0000000000e+00	   0.0000000000e+00	   0.0000000000e+00	   4.9004764550e-14	
              8	           -0.5	             -5	            400	 1	   0.0000000000e+00	   0.0000000000e+00	   0.0000000000e+00	   1.3608969429e-13	
             12	           -0.5	             -5	            400	 1	   4.4785570048e-14	   5.1450657877e-12	   8.5239854966e-13	   7.5690975820e-15	
             16	           -0.5	             -5	            400	 1	   2.2818504686e-13	   5.5547448289e-11	   2.9592135289e-10	   2.4301979899e-10	
             20	           -0.5	             -5	            400	 1	   6.0231373946e-13	   2.4501823656e-10	   2.0111597618e-09	   2.9202356821e-09	
             24	           -0.5	             -5	            400	 1	   1.1790678765e-12	   7.2840249559e-10	   7.8168355099e-09	   1.4918260993e-08	
             28	           -0.5	             -5	            400	 1	   1.8948065569e-12	   1.6988253651e-09	   2.2548640667e-08	   5.2180701625e-08	
             32	           -0.5	             -5	            400	 1	   2.6279392444e-12	   3.3387667547e-09	   5.3323756588e-08	   1.4394725329e-07	
             36	           -0.5	             -5	            400	 1	   3.2439334619e-12	   5.7601735369e-09	   1.0873828427e-07	   3.3384127262e-07	
             40	           -0.5	             -5	            400	 1	   3.6401982982e-12	   8.9526119108e-09	   1.9690602282e-07	   6.7409579489e-07	
             44	           -0.5	             -5	            400	 1	   3.7713236230e-12	   1.2754928641e-08	   3.2252604069e-07	   1.2110210641e-06	
             48	           -0.5	             -5	            400	 1	   3.6500341143e-12	   1.6859355765e-08	   4.8376789102e-07	   1.9642633700e-06	
             52	           -0.5	             -5	            400	 1	   3.3307914290e-12	   2.0850092353e-08	   6.7023383111e-07	   2.9074098610e-06	
             56	           -0.5	             -5	            400	 1	   2.8870538111e-12	   2.4271079810e-08	   8.6321060065e-07	   3.9596311927e-06	
             60	           -0.5	             -5	            400	 1	   2.3912142658e-12	   2.6709762050e-08	   1.0386980971e-06	   4.9950324587e-06	
             64	           -0.5	             -5	            400	 1	   1.9017558278e-12	   2.7877130133e-08	   1.1725647619e-06	   5.8690873847e-06	
             68	           -0.5	             -5	            400	 1	   1.4580896233e-12	   2.7662949661e-08	   1.2462087838e-06	   6.4537591530e-06	
             72	           -0.5	             -5	            400	 1	   1.0811685215e-12	   2.6151069235e-08	   1.2508267922e-06	   6.6689130877e-06	
             76	           -0.5	             -5	            400	 1	   7.7728808311e-13	   2.3591695014e-08	   1.1889466189e-06	   6.4993808440e-06	
             80	           -0.5	             -5	            400	 1	   5.4287850347e-13	   2.0340693416e-08	   1.0729575788e-06	   5.9932483637e-06	
             84	           -0.5	             -5	            400	 1	   3.6888864212e-13	   1.6784890210e-08	   9.2143223030e-07	   5.2441983794e-06	
